,studio,total_gross,opening_gross
0,A24,78436595.0,9439569.0
1,BG,29504281.0,8246267.0
2,BV,6812819238.0,2058347467.0
3,Focus,329900919.0,106446117.0
4,Fox,4663892452.0,1369593601.0
5,FoxS,210923287.0,10570024.0
6,Free,60755732.0,9217013.0
7,IFC,25352281.0,387618.0
8,LG/S,755323084.0,228522858.0
9,LGF,1081521376.0,338206872.0
10,ORF,205605396.0,38733154.0
11,Par.,2418383577.0,760216984.0
12,RAtt.,47695371.0,256498.0
13,Rela.,197967859.0,74060319.0
14,SGem,437393744.0,176033165.0
15,STX,192864118.0,46450005.0
16,Sony,2261139796.0,736145883.0
17,TriS,318900675.0,78466630.0
18,Uni.,4843866898.0,1660912080.0
19,W/Dim.,76271832.0,18966676.0
20,WB,3451493058.0,1092389133.0
21,WB (NL),1388497656.0,430690427.0
22,Wein.,399218534.0,44532391.0
