,title,genre,studio,total_gross,theaters,opening_gross,open_date
0,American Sniper,Drama,WB,350126372.00,3885,633456.00,12/25/14
1,The Hunger Games: Mockingjay - Part 1,Action / Adventure,LGF,337135885.00,4151,121897634.00,11/21/14
2,Guardians of the Galaxy,Action / Adventure,BV,333176600.00,4088,94320883.00,8/1/14
3,Captain America: The Winter Soldier,Action / Adventure,BV,259766572.00,3938,95023721.00,4/4/14
4,The LEGO Movie,Animation,WB,257760692.00,3890,69050279.00,2/7/14
5,The Hobbit: The Battle of the Five Armies,Fantasy,WB (NL),255119788.00,3875,54724334.00,12/17/14
6,Transformers: Age of Extinction,Sci-Fi Action,Par.,245439076.00,4233,100038390.00,6/27/14
7,Maleficent,Fantasy,BV,241410378.00,3948,69431298.00,5/30/14
8,X-Men: Days of Future Past,Action / Adventure,Fox,233921534.00,4001,90823660.00,5/23/14
9,Big Hero 6,Animation,BV,222527828.00,3773,56215889.00,11/7/14
10,Dawn of the Planet of the Apes,Sci-Fi Action,Fox,208545589.00,3969,72611427.00,7/11/14
11,The Amazing Spider-Man 2,Action / Adventure,Sony,202853933.00,4324,91608337.00,5/2/14
12,Godzilla (2014),Sci-Fi Action,WB,200676069.00,3952,93188384.00,5/16/14
13,22 Jump Street,Action Comedy,Sony,191719337.00,3426,57071445.00,6/13/14
14,Teenage Mutant Ninja Turtles (2014),Action / Adventure,Par.,191204754.00,3980,65575105.00,8/8/14
15,Interstellar,Sci-Fi Adventure,Par.,188020017.00,3561,47510360.00,11/5/14
16,How to Train Your Dragon 2,Animation,Fox,177002924.00,4268,49451322.00,6/13/14
17,Gone Girl,Thriller,Fox,167767189.00,3284,37513109.00,10/3/14
18,Divergent,Action / Adventure,LG/S,150947895.00,3936,54607747.00,3/21/14
19,Neighbors,Comedy,Uni.,150157400.00,3311,49033915.00,5/9/14
20,Ride Along,Comedy,Uni.,134938200.00,2867,41516170.00,1/17/14
21,Rio 2,Animation,Fox,131538435.00,3975,39327869.00,4/11/14
22,Into the Woods,Musical,BV,128002372.00,2833,31051923.00,12/25/14
23,Lucy,Sci-Fi Action,Uni.,126663600.00,3202,43899340.00,7/25/14
24,The Fault in our Stars,Drama,Fox,124872350.00,3340,48002523.00,6/6/14
25,Unbroken,War Drama,Uni.,115637895.00,3301,30621445.00,12/25/14
26,Night at the Museum: Secret of the Tomb,Family Adventure,Fox,113746621.00,3914,17100520.00,12/19/14
27,Mr. Peabody & Sherman,Animation,Fox,111506430.00,3951,32207057.00,3/7/14
28,300: Rise of An Empire,Period Action,WB,106580051.00,3490,45038460.00,3/7/14
29,The Maze Runner,Sci-Fi Thriller,Fox,102427862.00,3638,32512804.00,9/19/14
30,The Equalizer,Thriller,Sony,101530738.00,3236,34137828.00,9/26/14
31,Noah,Drama,Par.,101200044.00,3571,43720472.00,3/28/14
32,Edge of Tomorrow,Sci-Fi Action,WB,100206256.00,3505,28760246.00,6/6/14
33,Non-Stop,Thriller,Uni.,92168600.00,3183,28875635.00,2/28/14
34,Heaven is for Real,Drama,TriS,91443253.00,3048,22522221.00,4/16/14
